strip_unit,object_size,io_type,fsize,nthreads,iops,bw,lat
512,4,randr:r,2048,128,4811,38502.4,26597.93
512,4,randr:r,2048,32,2108,16896.0,15173.82
512,4,randr:r,2048,64,3625,28979.2,17648.00
512,4,randrw:r,1,16,1239,9916,5299.72
512,4,randrw:w,1,16,1238,9909,7606.08
512,4,randrw:r,1,1,289,2318,1213.71
512,4,randrw:w,1,1,288,2310,2243.14
512,4,randrw:r,1,2,427,3421,1846.39
512,4,randrw:w,1,2,426,3416,2832.25
512,4,randrw:r,1,32,1718,13721.6,7665.20
512,4,randrw:w,1,32,1716,13721.6,10950.75
512,4,randrw:r,1,4,571,4572,2845.09
512,4,randrw:w,1,4,569,4555,4164.58
512,4,randrw:r,1,8,932,7461,3489.10
512,4,randrw:w,1,8,929,7440,5099.52
512,4,randrw:r,2048,16,498,3991,13970.70
512,4,randrw:w,2048,16,499,3998,18064.76
512,4,randrw:r,2048,1,51,415,8609.06
512,4,randrw:w,2048,1,51,414,10695.68
512,4,randrw:r,2048,2,88,705,7455.28
512,4,randrw:w,2048,2,88,707,15193.42
512,4,randrw:r,2048,32,847,6779,12445.09
512,4,randrw:w,2048,32,851,6809,25192.80
512,4,randrw:r,2048,4,164,1319,8798.91
512,4,randrw:w,2048,4,165,1323,15416.27
512,4,randrw:r,2048,8,314,2514,10737.95
512,4,randrw:w,2048,8,313,2506,14753.95
512,4,seqrw:r,1,16,17408.0,143360,889.15
512,4,seqrw:w,1,16,1588,12697.6,10062.32
512,4,seqrw:r,1,1,1952,15667.2,511.34
512,4,seqrw:w,1,1,111,894,8944.98
512,4,seqrw:r,1,2,3827,30617.6,521.59
512,4,seqrw:w,1,2,218,1748,9152.23
512,4,seqrw:r,1,32,28467.2,222208,1147.40
512,4,seqrw:w,1,32,2112,16896.0,15127.47
512,4,seqrw:r,1,4,7308,58470.4,546.29
512,4,seqrw:w,1,4,453,3627,8820.41
512,4,seqrw:r,1,8,10854.4,85094.4,750.82
512,4,seqrw:w,1,8,920,7362,8688.37
64,1,randr:r,2048,128,5025,40243.2,25454.30
64,1,randr:r,2048,32,2089,16691.2,15306.45
64,1,randr:r,2048,64,3487,27852.8,18347.13
64,1,randrw:r,1,16,1077,8621,6310.64
64,1,randrw:w,1,16,1077,8619,8532.87
64,1,randrw:r,1,1,166,1329,2650.21
64,1,randrw:w,1,1,164,1320,3391.41
64,1,randrw:r,1,2,320,2564,2696.73
64,1,randrw:w,1,2,319,2557,3550.63
64,1,randrw:r,1,32,1419,11366.4,9256.90
64,1,randrw:w,1,32,1423,11366.4,13236.22
64,1,randrw:r,1,4,537,4296,3181.21
64,1,randrw:w,1,4,535,4286,4273.73
64,1,randrw:r,1,8,790,6324,4331.90
64,1,randrw:w,1,8,789,6318,5788.49
64,1,randrw:r,2048,32,620,4964,22444.89
64,1,randrw:w,2048,32,622,4981,29015.56
64,1,seqrw:r,1,16,16793.6,131072,971.97
64,1,seqrw:w,1,16,1907,15257.6,8381.57
64,1,seqrw:r,1,1,1902,15257.6,524.75
64,1,seqrw:w,1,1,280,2240,3569.23
64,1,seqrw:r,1,2,3648,29184.0,547.12
64,1,seqrw:w,1,2,498,3989,4009.42
64,1,seqrw:r,1,32,22425.6,175104,1459.46
64,1,seqrw:w,1,32,2118,16896.0,15092.13
64,1,seqrw:r,1,4,6560,52428.8,608.60
64,1,seqrw:w,1,4,932,7463,4286.09
64,1,seqrw:r,1,8,11161.6,87552.0,729.31
64,1,seqrw:w,1,8,1377,11059.2,5804.41
64,4,randr:r,2048,128,4562,36454.4,28033.46
64,4,randr:r,2048,32,2122,16998.4,15069.31
64,4,randr:r,2048,64,3546,28364.8,18037.11
64,4,randrw:r,1,16,1120,8967,5981.04
64,4,randrw:w,1,16,1121,8970,8284.99
64,4,randrw:r,1,1,166,1330,2609.67
64,4,randrw:w,1,1,165,1322,3421.08
64,4,randrw:r,1,2,321,2573,2701.05
64,4,randrw:w,1,2,320,2567,3523.47
64,4,randrw:r,1,32,1455,11673.6,9077.66
64,4,randrw:w,1,32,1459,11673.6,12860.46
64,4,randrw:r,1,4,515,4127,3336.15
64,4,randrw:w,1,4,515,4125,4414.18
64,4,randrw:r,1,8,787,6297,4310.19
64,4,randrw:w,1,8,786,6291,5853.49
64,4,randrw:r,2048,16,476,3816,14780.79
64,4,randrw:w,2048,16,478,3825,18707.91
64,4,randrw:r,2048,1,62,501,7176.09
64,4,randrw:w,2048,1,62,500,8802.82
64,4,randrw:r,2048,2,104,835,6016.77
64,4,randrw:w,2048,2,104,838,13090.77
64,4,randrw:r,2048,32,627,5017,22062.75
64,4,randrw:w,2048,32,630,5041,28795.18
64,4,randrw:r,2048,4,192,1542,8611.09
64,4,randrw:w,2048,4,193,1549,12082.14
64,4,randrw:r,2048,8,349,2794,9964.87
64,4,randrw:w,2048,8,348,2785,12974.89
64,4,seqrw:r,1,16,16896.0,132096,968.49
64,4,seqrw:w,1,16,1718,13721.6,9306.80
64,4,seqrw:r,1,1,1848,14745.6,539.98
64,4,seqrw:w,1,1,278,2228,3589.71
64,4,seqrw:r,1,2,3440,27545.6,580.21
64,4,seqrw:w,1,2,489,3912,4087.92
64,4,seqrw:r,1,32,21401.6,166912,1529.27
64,4,seqrw:w,1,32,2052,16384.0,15581.27
64,4,seqrw:r,1,4,6621,52940.8,603.01
64,4,seqrw:w,1,4,804,6436,4970.23
64,4,seqrw:r,1,8,10854.4,84889.6,752.73
64,4,seqrw:w,1,8,1287,10342.4,6212.77
