sys,iotype,fsize,bsize,n_jobs,n_hosts,n_jobs_total,bwidth,iops,lat_mean_ns,lat_stdv_ns
netapp,randr,1m,8k,16,8,128,504021,63002.726567,2032025.152236,3231811.492271
netapp,randr,1m,8k,1,8,8,135846,16980.816731,465215.137031,242665.970332
netapp,randr,1m,8k,2,8,16,269728,33716.080946,467652.547821,210235.347759
netapp,randr,1m,8k,4,8,32,466846,58355.835481,543712.919675,229958.429848
netapp,randr,1m,8k,8,8,64,503764,62970.580196,1012131.990064,1780040.236111
netapp,randr,2g,8k,16,8,128,137924,17240.602356,7415059.722322,9632853.309058
netapp,randr,2g,8k,1,8,8,18209,2276.171366,3507540.134196,5964285.448975
netapp,randr,2g,8k,2,8,16,27864,3483.050904,4585553.55667,6902864.173149
netapp,randr,2g,8k,4,8,32,43847,5480.981648,5829210.616195,7001177.906803
netapp,randr,2g,8k,8,8,64,74393,9299.180792,6872562.331446,8094733.407329
netapp,seqr,1m,64k,16,8,128,4026892,62920.201721,2017183.328303,2584792.559227
netapp,seqr,1m,64k,1,8,8,857489,13398.278672,596140.965154,236819.853452
netapp,seqr,1m,64k,2,8,16,1491880,23310.628965,672708.473391,296334.166239
netapp,seqr,1m,64k,4,8,32,2771137,43299.029003,733728.64468,250632.960819
netapp,seqr,1m,64k,8,8,64,3939884,61560.70106,1028302.026025,665620.512069
netapp,seqr,2g,64k,16,8,128,2394999,37421.874844,3402325.695488,9777667.144565
netapp,seqr,2g,64k,1,8,8,704804,11012.57283,694129.501651,2267950.994107
netapp,seqr,2g,64k,2,8,16,1195540,18680.325191,853385.105534,2172447.449398
netapp,seqr,2g,64k,4,8,32,1872757,29261.837623,1089853.789144,2038330.003434
netapp,seqr,2g,64k,8,8,64,2428484,37945.068315,1682173.340385,3140648.355873
