sys,iotype,fsize,bsize,n_jobs,n_hosts,n_jobs_total,bwidth,iops,lat_mean_ns,lat_stdv_ns
netapp,randr,1m,8k,16,8,128,50387,6298.459559,20336646.271885,16289513.971803
netapp,randr,1m,8k,1,8,8,50385,6298.233041,1265162.908359,2333263.792607
netapp,randr,1m,8k,2,8,16,50395,6299.494349,2535662.08349,3705684.119699
netapp,randr,1m,8k,4,8,32,50390,6298.860038,5070011.134607,6007649.178598
netapp,randr,1m,8k,8,8,64,50390,6298.829427,10158040.969952,8714171.905298
netapp,randr,2g,8k,16,8,128,50391,6298.934543,20244932.319822,18077125.677305
netapp,randr,2g,8k,1,8,8,12574,1571.844731,5081016.812346,9152746.356824
netapp,randr,2g,8k,2,8,16,15342,1917.818444,8331340.593566,21357839.979365
netapp,randr,2g,8k,4,8,32,29614,3701.750468,8633008.418277,10568564.431366
netapp,randr,2g,8k,8,8,64,50456,6307.034151,10139549.52042,8858559.820292
netapp,seqr,1m,64k,16,8,128,403177,6299.644752,20277006.382899,28083759.2694
netapp,seqr,1m,64k,1,8,8,403005,6296.954425,1258101.151897,2012274.577169
netapp,seqr,1m,64k,2,8,16,403263,6300.99563,2531724.389134,3664441.809521
netapp,seqr,1m,64k,4,8,32,403304,6301.633913,5063284.812261,7003164.020923
netapp,seqr,1m,64k,8,8,64,403174,6299.600053,10071061.426671,14024595.825823
netapp,seqr,2g,64k,16,8,128,436594,6821.788348,18595705.66184,28261510.948893
netapp,seqr,2g,64k,1,8,8,317340,4958.448301,1594048.072175,7806491.959551
netapp,seqr,2g,64k,2,8,16,404424,6319.138158,2515852.184893,4479949.530773
netapp,seqr,2g,64k,4,8,32,409314,6395.542581,4998006.397176,7457144.459052
netapp,seqr,2g,64k,8,8,64,415380,6490.326709,9797134.155683,14195206.344155
