sys,iotype,fsize,bsize,n_jobs,n_hosts,n_jobs_total,bwidth,iops,lat_mean_ns,lat_stdv_ns
netapp,randr,1m,8k,16,8,128,839537,104942.143719,1208172.041888,1841783.782867
netapp,randr,1m,8k,1,8,8,125240,15655.105748,503491.106398,228868.705715
netapp,randr,1m,8k,2,8,16,252075,31509.384969,499749.515721,212385.903029
netapp,randr,1m,8k,4,8,32,475077,59384.665384,528920.634544,190899.443607
netapp,randr,1m,8k,8,8,64,788546,98568.368105,636331.981906,245223.855411
netapp,randr,2g,8k,16,8,128,142427,17803.435521,7178649.397852,10643650.76548
netapp,randr,2g,8k,1,8,8,2784,348.059982,22971740.227836,25345874.360394
netapp,randr,2g,8k,2,8,16,15668,1958.54456,8157622.657338,8316492.42704
netapp,randr,2g,8k,4,8,32,67735,8466.903763,3771129.586067,6377542.104417
netapp,randr,2g,8k,8,8,64,117160,14645.039593,4361462.34677,8267731.625956
netapp,seqr,1m,64k,16,8,128,4237649,66213.271201,1891368.547368,599299.037304
netapp,seqr,1m,64k,1,8,8,837542,13086.596378,604870.972904,221555.340914
netapp,seqr,1m,64k,2,8,16,1581470,24710.484298,640562.703592,314663.52678
netapp,seqr,1m,64k,4,8,32,2646779,41355.928814,754216.448379,259031.807034
netapp,seqr,1m,64k,8,8,64,3376136,52752.138319,1197124.695571,449270.722468
netapp,seqr,2g,64k,16,8,128,2457717,38401.834545,3326211.64709,9068407.143761
netapp,seqr,2g,64k,1,8,8,605024,9453.509146,843207.835002,2530112.423537
netapp,seqr,2g,64k,2,8,16,1080158,16877.476192,944428.181535,2740842.820327
netapp,seqr,2g,64k,4,8,32,1826099,28532.812344,1118021.785922,1991244.563375
netapp,seqr,2g,64k,8,8,64,2079541,32492.839579,1963870.066804,4832301.261009
